(drive truck0 distributor0 distributor1)
(lift hoist0 crate2 pallet0 depot0)
(lift hoist1 crate6 crate5 distributor0)
(lift hoist2 crate9 pallet2 distributor1)
(drop hoist1 crate6 crate8 distributor0)
(lift hoist1 crate5 crate1 distributor0)
(drop hoist1 crate5 crate6 distributor0)
(lift hoist1 crate1 pallet1 distributor0)
(drop hoist1 crate1 crate0 distributor0)
(load hoist2 crate9 truck0 distributor1)
(drive truck0 distributor1 depot0)
(load hoist0 crate2 truck0 depot0)
(unload hoist0 crate9 truck0 depot0)
(drop hoist0 crate9 pallet0 depot0)
