lift hoist1 crate5 crate3 depot1
lift hoist5 crate4 crate1 distributor2
lift hoist2 crate2 crate0 depot2
drive truck1 distributor1 distributor2
drive truck2 distributor0 depot1
load hoist5 crate4 truck1 distributor2
load hoist1 crate5 truck2 depot1
load hoist2 crate2 truck0 depot2
drive truck0 depot2 distributor1
lift hoist1 crate3 pallet1 depot1
drive truck1 distributor2 distributor1
load hoist1 crate3 truck2 depot1
unload hoist4 crate2 truck0 distributor1
unload hoist1 crate5 truck2 depot1
drop hoist4 crate2 pallet4 distributor1
drop hoist1 crate5 pallet1 depot1
unload hoist4 crate4 truck1 distributor1
unload hoist1 crate3 truck2 depot1
drop hoist4 crate4 crate2 distributor1
drop hoist1 crate3 crate5 depot1
